country,year,pulmonaryConfirmado,pulmonaryDiagnosed,newCasesExtrapulmonary,popData2019,cases,deaths,cumulative
Afghanistan,2020,22888,10917,11401,38041757.0,49273.0,1971.0,5.163135584424778
Albania,2020,134,51,38,2862427.0,48530.0,1003.0,75.32703872135231
Algeria,2020,4114,1049,11827,43053054.0,92102.0,2596.0,8.335652349215115
Andorra,2020,1,0,1,76177.0,7338.0,79.0,465.12099110199273
Angola,2020,31268,25350,3857,31825299.0,16188.0,371.0,2.568746310783582
Argentina,2020,6321,1687,1067,44780675.0,1498160.0,40766.0,161.7439403684099
Armenia,2020,199,64,106,2957728.0,148682.0,2503.0,198.83186967676468
Australia,2020,783,140,609,25203200.0,28031.0,908.0,4.451701953438396
Austria,2020,251,26,92,8858775.0,320036.0,4400.0,136.41520788541547
Azerbaijan,2020,1331,623,604,10047719.0,175874.0,1922.0,60.43543854008772
Bahamas,2020,20,9,1,389486.0,7674.0,163.0,100.19049238702206
Bahrain,2020,104,6,83,1641164.0,89143.0,348.0,215.80509426488504
Bangladesh,2020,136914,39979,42244,163046173.0,490533.0,7052.0,14.94230382549091
Barbados,2020,2,3,0,287021.0,292.0,7.0,4.873849157022058
Belarus,2020,1015,69,87,9452409.0,160295.0,1263.0,64.33184483343108
Belgium,2020,482,57,239,11455519.0,608001.0,17951.0,207.8946378782808
Belize,2020,67,6,2,390351.0,9295.0,195.0,104.2458741056015
Benin,2020,3043,428,308,11801151.0,3090.0,44.0,1.330254548754579
Bhutan,2020,434,68,338,763094.0,438.0,0.0,2.8298221316666665
Botswana,2020,977,1050,403,2303703.0,12501.0,37.0,26.612024879031008
Brazil,2020,45728,14445,8961,211049519.0,6901952.0,181402.0,125.97506731977077
Bulgaria,2020,397,248,175,7000039.0,179449.0,5688.0,117.13919430578571
Burundi,2020,4396,749,1607,11530577.0,729.0,1.0,0.3304997412790698
Cambodia,2020,10160,7054,11157,16486542.0,359.0,0.0,0.08646981441176471
Cameroon,2020,13646,4088,3381,25876387.0,25143.0,443.0,4.839559901155234
Canada,2020,907,99,697,37411038.0,460743.0,13431.0,44.94519554209169
Chad,2020,6866,3922,1435,15946882.0,1770.0,102.0,0.5600305270740741
Chile,2020,1654,122,530,18952035.0,571919.0,15886.0,145.44973249817542
China,2020,297862,264362,33473,1433783692.0,91994.0,4739.0,0.2570520381375358
Colombia,2020,6944,2925,1924,50339443.0,1425774.0,39053.0,136.773357298638
Comoros,2020,48,28,76,850891.0,628.0,7.0,4.425006537312775
Congo,2020,4095,4119,2781,5380504.0,6049.0,99.0,5.573718755291971
Croatia,2020,138,36,2,4076246.0,175886.0,2640.0,150.49187598465318
Cuba,2020,375,85,72,11333484.0,9423.0,137.0,3.966974000545455
Cyprus,2020,25,3,6,875899.0,15101.0,78.0,73.17866820496403
Czechia,2020,263,45,43,10649800.0,581079.0,9609.0,208.02978879421204
Denmark,2020,133,17,57,5806081.0,109758.0,941.0,64.305713850745
Djibouti,2020,754,144,779,973557.0,5728.0,61.0,30.22166059608856
Ecuador,2020,3547,700,719,17373657.0,202110.0,13875.0,46.34775176343023
Egypt,2020,3311,98,3282,100388076.0,121575.0,6920.0,4.7969638445217395
Eritrea,2020,660,244,571,3497117.0,711.0,0.0,0.9386196361940299
Estonia,2020,95,6,8,1324820.0,18055.0,149.0,46.259465524622094
Eswatini,2020,1106,424,462,1148133.0,6768.0,127.0,29.055867221454548
Ethiopia,2020,43438,28318,32895,112078727.0,116769.0,1806.0,5.1344214530072465
Fiji,2020,120,132,165,889955.0,46.0,2.0,0.2334699817037037
Finland,2020,104,10,56,5517919.0,30810.0,453.0,20.490028729913043
France,2020,2133,896,1369,67012883.0,2376852.0,57911.0,137.50425770406875
Gabon,2020,3719,492,480,2172578.0,9330.0,63.0,21.64212419485507
Gambia,2020,1436,710,171,2347696.0,3782.0,123.0,8.258409647132353
Georgia,2020,1066,89,329,3996762.0,191063.0,1839.0,169.39601335604047
Germany,2020,2545,239,1117,83019213.0,1337078.0,21975.0,57.93734976108883
Ghana,2020,8030,3214,911,30417858.0,53014.0,327.0,8.716871211847826
Greece,2020,313,16,46,10724599.0,124534.0,3625.0,43.636920375417866
Grenada,2020,1,0,0,112002.0,69.0,0.0,1.758930602846442
Guatemala,2020,1966,379,205,17581476.0,129282.0,4423.0,36.44058512054545
Guinea,2020,8365,3055,3802,12771246.0,13420.0,79.0,5.286050753745455
Guyana,2020,197,108,32,782775.0,5920.0,155.0,36.805653546181816
Haiti,2020,7264,2138,1130,11263079.0,9565.0,234.0,4.319192594555556
Honduras,2020,1525,92,122,9746115.0,114359.0,2975.0,57.940292477826084
Hungary,2020,183,159,17,9772756.0,283870.0,7130.0,128.14432688521126
Iceland,2020,5,4,3,356991.0,5557.0,28.0,61.639045598452725
India,2020,570237,516488,471000,1366417756.0,9884100.0,143355.0,28.5102482837069
